,input,pred,output
647,saayn,साय,सायं
648,jivant,जिवंत,जीवंत
649,jiwanparyant,जिवाप्रण्यंत,जीवनपर्यंत
650,vastvik,वा््स्कि,वास्तविक
651,ajit,अजीत,अजित
652,introduction,इं््ट्रर्ककन,इंट्रोडक्शन
653,sanvaree,संवरी,संवरी
654,tasvaron,तास्वरों,तस्वारों
655,aainthoo,मैइंट,आइंथू
656,antrmukh,अंत्रमुख,अंतर्मुख
657,laxmeeniyaan,लक्सिनिियाां,लक्ष्मीनियां
658,kamarhati,कमराथती,कमारहाटी
659,mangesh,मंगेश,मंगेश
660,paradhin,पराधिन,पराधीन
661,hamla,हमला,हमला
662,notbandeeshuda,नोतबन्दद्बा,नोटबंदीशुदा
663,wabag,वाबाग,वाबाग
664,ravaley,रवले,रावले
665,doorgadh,दुरगढ़,दूर्गध
666,mantrayon,मंत्रायों,मंत्रयों
667,beraharamee,बेरहहमी,बेरहरमी
668,bowie,बोवी,बोवी
669,jedateeisaaft,जीडेस्टिटेस,जेडटीईसाफ्ट
670,roopak,रूपक,रूपक
671,giridih,गिरिडिह,गिरिडीह
672,bhraanti,भ्रांती,भ्रांति
673,chachaji,चाचाजी,चाचाजी
674,yooropiyaa,योरूपिया,यूरोपिया
675,swabhavatah,स्वभावतः,स्वभावतः
676,sprit,स्प्रिट,स्प्रिट
677,khaatadhaarak,खाठादार,खाताधारक
678,prasarakon,प्रसाकोों,प्रसारकों
679,dwn,डीएनएी,डीडब्ल्यूएन
680,uplakshya,उपल््््््या,उपलक्ष्य
681,aavishakaar,आविशकर,आविष्कार
682,uttariya,उत्तरिया,उत्तरिया
683,ghot,घोट,घोट
684,baagbagichon,बगगाबोिि,बागबगीचों
685,diphtheria,फिड्््रियया,डिप्थीरिया
686,jobs,जॉब्स,जॉब्स
687,mundwa,मुंडवा,मुंडवा
688,covina,कोविना,कोविना
689,chounkate,चौक्ेे,चौंकाते
690,breweries,ब्रेविज़,ब्रेवरीज
691,bhulata,भुलाता,भूलता
692,prakandh,प्रक्ंध,प्रकाण्ड़
693,danpati,दांपती,दंपति
694,suchi,सुची,सूची
695,sapatey,सपते,सपाटे
696,haimbalin,हैमबिलान,हैम्बलिन
697,jhuthla,झुथला,झुठला
698,medical,मेडिकल,मेडीकल
699,neurovascular,नोयरस्कुर्वा,न्यूरोवेस्कुलर
700,seriw,सीरव,सेरिव
701,aalochakon,अलोकोंं,आलोचकों
702,bataur,बाटर,बताैर
703,udaanon,उदानों,उड़ानों
704,shaili,शैली,शैली
705,wgpl,एवीपीजीएल,डब्ल्यूजीपीएल
706,darshnaarthee,दर्श्न्ररी,दर्शनार्थी
707,datsun,दत्सुन,डैटसन
708,emile,एमिले,एमिल
709,ayodhyeanath,अयोध्यानेथ,अयोध्यानाथ
710,malmaas,मलमास,मलमास
711,unionwaadi,उनिनोवाावी,यूनियनवादी
712,ritukaant,रितुकातं,ऋतुकांत
713,enid,एनिड,एनिड
714,daftarvaale,दाफ्रााले,दफ्तरवाले
715,wadara,वादारा,वदरा
716,kar,कार,कर
717,teekon,तिकों,टीकों
718,communications,कम्नेकेंशशन,कम्यूनिकेशन्स
719,udaipur,उदापुर,उदयपुर
720,charit,चरित,चरित
721,amy,एमीए,एमी
722,raadhe,राधे,राधे
723,varnavyavasthaavaadiyon,वर्णव््यवासिकायियों,वर्णव्यवस्थावादियों
724,jhaohuee,झहुआई,झाओहुई
725,miti,मीटी,मिति
726,jalagati,जलगाती,जलगति
727,colan,कोलन,कोलन
728,fayetteville,फायेटेलवेल,फयेत्तेविल्ले
729,pratileetar,प्रतिलीतर,प्रतिलीटर
730,nmdc,एनएमएसडी,एनएमडीसी
731,shaasanadhikariyon,शासानिधारियोंं,शासनाधिकारियों
732,nazarandaz,नज़राददाज,नजरंदाज
733,vyavasthavirodhi,व्यव्श्वेतुर्धि,व्यवस्थाविरोधी
734,gudagaunw,गुदागुनि,गुडगौंव
735,observer,ओब्रेशर,ऑब्जर्वर
736,rupa,रूपा,रूपा
737,bhrastrachariyon,भ्रस्त्रचारीयों,भ्रष्ट्राचारियों
738,kelly,केल्ल,केली
739,barman,बर्मन,बर्मन
740,paltane,पल्तने,पलटने
741,saraikela,सररेकाला,सरायकेला
742,megapixal,मेगिस्प्ला,मेगापिक्सल
743,naksalavaad,नक्सावाद,नक्सलवाद
744,label,लबेल,लेबल
745,sanchalanon,संचलाोंं,संचालनों
746,rashtrabhakton,रश्््त््रकोों,राष्ट्रभक्तों
747,devaapur,देवापुर,देवापुर
748,nitya,नित्या,नित्या
749,yooniyanwaadi,यूनिनायावा,यूनियनवादी
750,odhakar,उचदर,ओढ़कर
751,chandradas,चंददरास,चन्द्रदास
752,petaluma,पेटलुमा,पेटालुमा
753,rangkata,रांगकाता,रंजकता
754,jataati,जतती,जताती
755,avyavasayee,अव्यासायी,अव्यवसायी
756,immaichyority,इमैमच्ट्रियिय,इम्मैच्योरिटी
757,saflata,सफलता,सफ़लता
758,kakinada,ककिनाड़ा,काकीनाड़ा
759,maratha,मराथा,मराठा
760,formic,फॉर्मिक,फार्मिक
761,aphasaron,अपसरोों,अफसराें
762,pokhriyal,पोखरियल,पोखरियाल
763,sev,सेव,सेव
764,chaudhavan,छौवादन,चौदहवां
765,vivaranahbhaarateey,विवररहारीीय,विवरणःभारतीय
766,maidi,मैडी,मैडी
767,rumani,रुमानी,रुमानी
768,metrologist,मेटरोलोजिस्ट,मैट्रोलॉजिस्ट
769,alai,अलाई,अली
770,tcns,टीएसएसएस,टीसीएनएस
771,hackensack,हैककेस,हैकेंसैक
772,phabti,फबती,फब्ती
773,thousand,थूस्ंड,थाउजेंड
774,bhushan,भुशन,भूषण
775,dastakhatshuda,दस्ततुशख्दा,दस्तखतशुदा
776,sanders,संडर्स,सेंडर्स
777,immune,इम्मून,इम्युन
778,subbanee,बुस्बनी,सुब्बनी
779,jadit,जडित,जड़ित
780,panipat,पनिपत,पानीपत
781,kikiyaanaa,किकियााा,किकियाना
782,elendt,एलेंड्ट,एलएंडटी
783,bechate,बेचते,बेचते
784,shrungar,श्रुगर,शृंगार
785,livaal,लिवाल,लिवाल
786,nabha,नभा,नाभा
787,aafa,आफा,आफॅ
788,altamonte,अल्टोमेटे,एल्टामोंटे
789,svarnikaa,स्वार्किाा,स्वर्णिका
790,sevai,सेवाई,सेंवई
791,nikharen,निखरें,निखारें
792,ia,आईआई,ईए
793,chhinke,छिंके,छींके
794,schaeffler,शैफ्कॉर,स्कैफ़लर
795,palatne,पालतेन,पलटने
796,parikalpit,परिकक््ि,परिकल्पित
797,praudh,प्रौध,प्रौढ
798,wyakteeyon,व्यक्तियों,व्यक्तीयों
799,sanskrition,संस्कृषिन,संस्कृतिओं
800,apj,एपीज,एपीजे
801,uthapatak,उतपाक,उठापटक
802,simtataa,सिमतता,सिमटता
803,ilaichi,इलैची,इलाइची
804,maas,मास,मास
805,savita,सविता,सविता
806,sapane,सपने,सपने
807,multimedia,मुलिटिडियाा,मल्टीमीडिया
808,radhakrushnadas,राधाक्षादुसं,राधाकृष्णदास
